DRUG_NAME,accuracy,precision,recall,f1,roc_auc
PFI-1,0.6654929577464789,0.7209302325581395,0.6118421052631579,0.6619217081850534,0.6957735247208932
615590,0.6212121212121212,0.6235294117647059,0.5520833333333334,0.585635359116022,0.6955678104575164
Wnt-C59,0.6870229007633588,0.6964285714285714,0.6190476190476191,0.6554621848739496,0.6955532212885154
Doramapimod,0.6373239436619719,0.6859504132231405,0.5608108108108109,0.6171003717472119,0.6954242845786964
Mirin,0.6818181818181818,0.6785714285714286,0.6129032258064516,0.6440677966101694,0.6930875576036867
ascorbate (vitamin C),0.6715686274509803,0.7263157894736842,0.6272727272727273,0.6731707317073171,0.69284332688588
WZ4003,0.6335877862595419,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.6916071428571429
123138,0.6515151515151515,0.7294117647058823,0.5740740740740741,0.6424870466321243,0.6910493827160493
JNK Inhibitor VIII,0.6464285714285715,0.6528925619834711,0.5808823529411765,0.6147859922178989,0.6895169526143792
Bortezomib,0.6448275862068965,0.6124031007751938,0.5984848484848485,0.6053639846743295,0.6891781741465286
L-Oxonoreleagnine,0.6313131313131313,0.6235294117647059,0.5638297872340425,0.5921787709497207,0.6883183306055647
AZD5363,0.613013698630137,0.6335877862595419,0.5608108108108109,0.5949820788530465,0.6876642267267267
GSK2110183B,0.6161616161616161,0.6341463414634146,0.5306122448979592,0.5777777777777777,0.6874489795918368
Dinaciclib,0.6615384615384615,0.6545454545454545,0.5901639344262295,0.6206896551724138,0.686505108101687
Bleomycin,0.6666666666666666,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6849468954248366
Talazoparib,0.660958904109589,0.6946564885496184,0.6066666666666667,0.6476868327402135,0.6842957746478873
Ulixertinib,0.6678082191780822,0.7046979865771812,0.6645569620253164,0.6840390879478827,0.6835443037974683
Cyclophosphamide,0.6472602739726028,0.7322834645669292,0.5740740740740741,0.643598615916955,0.6833570750237417
Telomerase Inhibitor IX,0.660958904109589,0.7099236641221374,0.6038961038961039,0.6526315789473685,0.6829474872953134
GSK343,0.6678082191780822,0.6946564885496184,0.6148648648648649,0.6523297491039427,0.6827139639639639
BDF00022089a,0.6161616161616161,0.5952380952380952,0.5434782608695652,0.5681818181818182,0.682526661197703
AZ6102,0.6328671328671329,0.632,0.572463768115942,0.6007604562737643,0.6820407363885624
EHT-1864,0.6654929577464789,0.6771653543307087,0.6142857142857143,0.6441947565543071,0.6816468253968253
AZD5438,0.6336633663366337,0.6136363636363636,0.574468085106383,0.5934065934065934,0.6799645390070922
VX-11e,0.6584507042253521,0.6888888888888889,0.6283783783783784,0.657243816254417,0.6799483306836249
Alpelisib,0.6472602739726028,0.6511627906976745,0.5915492957746479,0.6199261992619927,0.6798826291079813
Tretinoin,0.7619047619047619,0.6875,0.6875,0.6875,0.6778846153846154
Linsitinib,0.6404109589041096,0.6793893129770993,0.5855263157894737,0.6289752650176679,0.6773261278195489
Dactinomycin,0.6310344827586207,0.7209302325581395,0.5670731707317073,0.6348122866894198,0.6771922183507549
Osimertinib,0.6335616438356164,0.7560975609756098,0.5470588235294118,0.6348122866894198,0.6764946962391516
GSK2578215A,0.6678082191780822,0.7404580152671756,0.60625,0.6666666666666666,0.6763020833333333
Bleomycin (50 uM),0.6485148514851485,0.7204301075268817,0.5982142857142857,0.6536585365853659,0.6762896825396825
KU-55933,0.6725352112676056,0.744,0.6038961038961039,0.6666666666666666,0.6748001998001998
LGK974,0.6793103448275862,0.7286821705426356,0.618421052631579,0.6690391459074733,0.6723159801678108
SB216763,0.6654929577464789,0.728,0.5986842105263158,0.6570397111913358,0.6719497607655502
Elesclomol,0.6428571428571429,0.5714285714285714,0.47058823529411764,0.5161290322580645,0.6705882352941176
Bosutinib,0.6048951048951049,0.728,0.5352941176470588,0.6169491525423729,0.6704614604462473
Bicalutamide,0.6666666666666666,0.8125,0.5416666666666666,0.65,0.6701388888888888
LCL161,0.6515151515151515,0.6181818181818182,0.576271186440678,0.5964912280701754,0.6693754353378221
glutathione,0.6225490196078431,0.6210526315789474,0.59,0.6051282051282051,0.6685576923076924
Dacarbazine,0.6666666666666666,0.6511627906976745,0.6086956521739131,0.6292134831460674,0.6661197703035274
BMS-536924,0.6267123287671232,0.6335877862595419,0.5763888888888888,0.6036363636363636,0.6656343843843843
MK-2206,0.5993150684931506,0.6614173228346457,0.5316455696202531,0.5894736842105263,0.6655960702815039
Romidepsin,0.6060606060606061,0.6511627906976745,0.5384615384615384,0.5894736842105263,0.6647913256955811
Temsirolimus,0.605072463768116,0.5304347826086957,0.5258620689655172,0.5281385281385281,0.6639278017241379
TW 37,0.6203703703703703,0.673469387755102,0.5689655172413793,0.616822429906542,0.662241379310345
I-BET-762,0.6564885496183206,0.625,0.5932203389830508,0.6086956521739131,0.6618997175141244
